Label	Pop	Family	Treatment	Block	Number	Latitude	Longitude	Elevation	Elevation_Cat	Low_Side	Treat_Block_Number	Flowered	Viable.Pollen	Inviable.Pollen	Total.Pollen	Prop.Viable
ART_H_4_33	ART	ART_1	H	4	33	37.35488	-118.3326	1594	Low	E	H_4_33	1	13	16	29	0.448275862
SAW_H_4_34	SAW	SAW_26	H	4	34	37.2033	-119.4137	1207.62	Low	W	H_4_34	1	1	7	8	0.125
ART_H_4_35	ART	ART_1	H	4	35	37.35488	-118.3326	1594	Low	E	H_4_35	1	1	15	16	0.0625
JMS_H_4_36	JMS	JMS_2	H	4	36	37.7653915	-119.0947999	2651	High	NA	H_4_36	1	30	71	101	0.297029703
NLC_H_5_37	NLC	NLC_1	H	5	37	37.22731	-118.6276	3282	High	NA	H_5_37	1	1	41	42	0.023809524
NLC_H_5_38	NLC	NLC_1	H	5	38	37.22731	-118.6276	3282	High	NA	H_5_38	1	2	2	4	0.5
NLC_H_5_39	NLC	NLC_1	H	5	39	37.22731	-118.6276	3282	High	NA	H_5_39	1	44	102	146	0.301369863
WFC_H_5_40	WFC	WFC_5	H	5	40	37.33766	-119.26629	1551.7368	Low	W	H_5_40	1	15	74	89	0.168539326
SAW_H_5_41	SAW	SAW_26	H	5	41	37.2033	-119.4137	1207.62	Low	W	H_5_41	1	1	43	44	0.022727273
JMS_H_5_42	JMS	JMS_2	H	5	42	37.7653915	-119.0947999	2651	High	NA	H_5_42	1	13	45	58	0.224137931
DWF_H_5_43	DWF	DWF_6	H	5	43	36.320614	-117.521642	24	Low	E	H_5_43	1	17	20	37	0.459459459
DLW_H_5_44	DLW	DLW_55	H	5	44	37.06770746	-118.2638616	1249	Low	E	H_5_44	1	858	185	1043	0.822627037
SAW_H_5_45	SAW	SAW_26	H	5	45	37.2033	-119.4137	1207.62	Low	W	H_5_45	1	2	11	13	0.153846154
DLW_H_6_46	DLW	DLW_55	H	6	46	37.06770746	-118.2638616	1249	Low	E	H_6_46	1	289	55	344	0.840116279
HME_H_6_47	HME	HME_1_G1	H	6	47	36.460418	-118.161644	3048	High	NA	H_6_47	0	NA	NA	NA	NA
WFC_H_6_48	WFC	WFC_5	H	6	48	37.33766	-119.26629	1551.7368	Low	W	H_6_48	1	112	8	120	0.933333333
WFC_H_6_49	WFC	WFC_5	H	6	49	37.33766	-119.26629	1551.7368	Low	W	H_6_49	1	423	58	481	0.879417879
HME_H_6_50	HME	HME_1_G1	H	6	50	36.460418	-118.161644	3048	High	NA	H_6_50	0	NA	NA	NA	NA
NLC_H_6_51	NLC	NLC_1	H	6	51	37.22731	-118.6276	3282	High	NA	H_6_51	1	75	126	201	0.373134328
ART_H_6_52	ART	ART_1	H	6	52	37.35488	-118.3326	1594	Low	E	H_6_52	1	2	15	17	0.117647059
SAW_H_6_53	SAW	SAW_26	H	6	53	37.2033	-119.4137	1207.62	Low	W	H_6_53	1	223	185	408	0.546568627
NLC_H_6_54	NLC	NLC_1	H	6	54	37.22731	-118.6276	3282	High	NA	H_6_54	0	NA	NA	NA	NA
ART_H_7_55	ART	ART_1	H	7	55	37.35488	-118.3326	1594	Low	E	H_7_55	0	NA	NA	NA	NA
WFC_H_7_56	WFC	WFC_5	H	7	56	37.33766	-119.26629	1551.7368	Low	W	H_7_56	1	575	19	594	0.968013468
JMS_H_7_57	JMS	JMS_2	H	7	57	37.7653915	-119.0947999	2651	High	NA	H_7_57	1	42	113	155	0.270967742
HME_H_7_58	HME	HME_1_G1	H	7	58	36.460418	-118.161644	3048	High	NA	H_7_58	0	NA	NA	NA	NA
LPM_H_7_59	LPM	LPM_1	H	7	59	37.63207	-118.99653	2594	High	NA	H_7_59	1	272	56	328	0.829268293
LPM_H_7_60	LPM	LPM_1	H	7	60	37.63207	-118.99653	2594	High	NA	H_7_60	1	230	29	259	0.888030888
DLW_H_7_61	DLW	DLW_55	H	7	61	37.06770746	-118.2638616	1249	Low	E	H_7_61	0	NA	NA	NA	NA
HME_H_7_62	HME	HME_1_G1	H	7	62	36.460418	-118.161644	3048	High	NA	H_7_62	1	13	12	25	0.52
JMS_H_7_63	JMS	JMS_2	H	7	63	37.7653915	-119.0947999	2651	High	NA	H_7_63	1	101	24	125	0.808
LPM_H_8_64	LPM	LPM_1	H	8	64	37.63207	-118.99653	2594	High	NA	H_8_64	1	161	35	196	0.821428571
WFC_H_8_65	WFC	WFC_5	H	8	65	37.33766	-119.26629	1551.7368	Low	W	H_8_65	0	NA	NA	NA	NA
WFC_H_8_66	WFC	WFC_5	H	8	66	37.33766	-119.26629	1551.7368	Low	W	H_8_66	1	96	113	209	0.459330144
ART_H_8_67	ART	ART_1	H	8	67	37.35488	-118.3326	1594	Low	E	H_8_67	1	5	38	43	0.11627907
NLC_H_8_68	NLC	NLC_1	H	8	68	37.22731	-118.6276	3282	High	NA	H_8_68	0	NA	NA	NA	NA
WFC_H_8_69	WFC	WFC_5	H	8	69	37.33766	-119.26629	1551.7368	Low	W	H_8_69	1	284	11	295	0.962711864
DLW_H_8_70	DLW	DLW_55	H	8	70	37.06770746	-118.2638616	1249	Low	E	H_8_70	1	2	4	6	0.333333333
